"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"81","Bacteria;Candidatus Kryptonia;NA;NA;NA;NA;NA;","0.00022","0.000191","0.000267","0.000192","0.000215","0.000162","0.000162","0.000139","0.000231","8.2e-05","9.1e-05","0.000277","0.000118","0.000243","0.000169","9.7e-05","0.000122","0.000108"
"82","Bacteria;candidate division WWE3;NA;NA;NA;NA;NA;","0.000218","0.000249","0.000324","0.000273","0.000149","0.000213","0.000173","0.000268","0.000222","0.000272","0.000213","0.000241","0.000185","0.000121","0.000282","9e-06","0.000215","0.000119"
"83","Archaea;Candidatus Lokiarchaeota;NA;NA;NA;NA;NA;","0.000208","0.000118","0.000153","0.000178","0.000115","0.000124","0.000298","0.000401","0.000205","0.000135","0.000147","0.000141","0.000177","0.000138","0.000131","0.000131","0.000151","0.000147"
"84","Bacteria;Candidatus Komeilibacteria;NA;NA;NA;NA;NA;","0.000204","7.1e-05","1.8e-05","0.000112","3e-04","7e-05","4e-05","5.5e-05","5.7e-05","0.000183","0.000311","6.3e-05","7.3e-05","6.3e-05","3e-06","3e-06","4.2e-05","1.7e-05"
"85","Bacteria;Candidatus Kaiserbacteria;NA;NA;NA;NA;NA;","0.000187","0.000178","0.000258","0.000323","0.000186","0.000113","0.000136","0.000465","0.000162","0.000128","0.000192","0.000304","0.000297","0.000264","0.000255","6.3e-05","0.000128","0.000297"
"86","Archaea;Candidatus Heimdallarchaeota;NA;NA;NA;NA;NA;","0.000185","8.1e-05","0.000162","3.3e-05","6.1e-05","4.5e-05","0.000154","0.000136","7.4e-05","2.3e-05","3.1e-05","0.000205","0.000121","0.000121","9.4e-05","7.2e-05","4.8e-05","3.1e-05"
"87","Archaea;Crenarchaeota;NA;NA;NA;NA;NA;","0.000174","0.000147","0.000236","0.000266","8.6e-05","0.000183","0.000213","8.6e-05","0.000302","0.000434","0.000143","0.000199","0.000238","0.000209","0.000257","2.8e-05","0.00017","0.000227"
"88","Bacteria;Caldiserica;NA;NA;NA;NA;NA;","0.000174","0.00033","0.000377","0.000345","9.3e-05","0.000237","8.5e-05","0.00016","0.000701","0.00055","0.000234","0.00028","0.000353","0.000147","0.000217","4.1e-05","0.000318","0.00058"
"89","Bacteria;Candidatus Goldbacteria;NA;NA;NA;NA;NA;","0.000174","0.000251","9.6e-05","7.8e-05","1.2e-05","6.1e-05","4.4e-05","9.9e-05","9e-06","2.3e-05","2.8e-05","0.000165","3.2e-05","6.3e-05","1.1e-05","2.2e-05","2.2e-05","4.2e-05"
"90","Bacteria;Dictyoglomi;NA;NA;NA;NA;NA;","0.000169","0.000228","9.6e-05","0.000235","0.000185","0.000256","0.00032","0.000102","0.000282","0.000308","0.000154","0.000502","0.000292","0.000239","9.1e-05","3.4e-05","0.000196","0.00014"
